Probe Set ID,Gene Symbol G,Entrez Gene,IDENTIFIER
200965_s_at,ABLIM1,3983,ABLIM1
200966_x_at,ALDOA,226,ALDOA
200967_at,PPIB,5479,PPIB
200968_s_at,PPIB,5479,PPIB
200969_at,SERP1,27230,SERP1
200970_s_at,SERP1,27230,SERP1
200971_s_at,SERP1,27230,SERP1
200972_at,TSPAN3,10099,TSPAN3
200973_s_at,TSPAN3,10099,TSPAN3
200974_at,ACTA2,59,ACTA2
200975_at,PPT1,5538,PPT1
200976_s_at,TAX1BP1,8887,TAX1BP1
200977_s_at,TAX1BP1,8887,TAX1BP1
200978_at,MDH1,4190,MDH1
200979_at,PDHA1,5160,PDHA1
200980_s_at,PDHA1,5160,PDHA1
200981_x_at,GNAS,2778,GNAS
200982_s_at,ANXA6,309,ANXA6
200983_x_at,CD59,966,CD59
200984_s_at,CD59,966,CD59
200985_s_at,CD59,966,CD59
200986_at,SERPING1,710,SERPING1
200987_x_at,PSME3,10197,PSME3
200988_s_at,PSME3,10197,PSME3
200989_at,HIF1A,3091,HIF1A
200990_at,TRIM28,10155,TRIM28
200991_s_at,SNX17,9784,SNX17
200992_at,IPO7,10527,IPO7
200993_at,IPO7,10527,IPO7
200994_at,IPO7,10527,IPO7
200995_at,IPO7,10527,IPO7
200996_at,ACTR3,10096,ACTR3
200997_at,RBM14-RBM4 /// RBM4,5936 /// 100526737,RBM14-RBM4
200998_s_at,CKAP4,10970,CKAP4
200999_s_at,CKAP4,10970,CKAP4
201000_at,AARS,16,AARS
201001_s_at,TMEM189 /// TMEM189-UBE2V1 /// UBE2V1,7335 /// 387521 /// 387522,TMEM189-UBE2V1
201002_s_at,TMEM189 /// TMEM189-UBE2V1 /// UBE2V1,7335 /// 387521 /// 387522,TMEM189-UBE2V1
201003_x_at,TMEM189 /// TMEM189-UBE2V1 /// UBE2V1,7335 /// 387521 /// 387522,TMEM189-UBE2V1
201004_at,SSR4,6748,SSR4
201005_at,CD9,928,CD9
201006_at,PRDX2,7001,PRDX2
201007_at,HADHB,3032,HADHB
201008_s_at,LOC101060503 /// TXNIP,10628 /// 101060503,TXNIP
201009_s_at,LOC101060503 /// TXNIP,10628 /// 101060503,TXNIP
201010_s_at,LOC101060503 /// TXNIP,10628 /// 101060503,TXNIP
201011_at,RPN1,6184,RPN1
201012_at,ANXA1,301,ANXA1
201013_s_at,PAICS,10606,PAICS
201014_s_at,PAICS,10606,PAICS
201015_s_at,JUP,3728,JUP
201016_at,EIF1AX /// LOC101060318,1964 /// 101060318,EIF1AX
201017_at,EIF1AX /// LOC101060318,1964 /// 101060318,EIF1AX
201018_at,EIF1AX /// LOC101060318,1964 /// 101060318,EIF1AX
201019_s_at,EIF1AX /// LOC101060318,1964 /// 101060318,EIF1AX
201020_at,YWHAH,7533,YWHAH
201021_s_at,DSTN,11034,DSTN
201022_s_at,DSTN,11034,DSTN
201023_at,TAF7,6879,TAF7
201024_x_at,EIF5B,9669,EIF5B
201025_at,EIF5B,9669,EIF5B
201026_at,EIF5B,9669,EIF5B
201027_s_at,EIF5B,9669,EIF5B
201028_s_at,CD99,4267,CD99
201029_s_at,CD99,4267,CD99
201030_x_at,LDHB,3945,LDHB
201031_s_at,HNRNPH1,3187,HNRNPH1
201032_at,BLCAP,10904,BLCAP
201033_x_at,RPLP0,6175,RPLP0
201034_at,ADD3,120,ADD3
201035_s_at,HADH,3033,HADH
201036_s_at,HADH,3033,HADH
201037_at,PFKP,5214,PFKP
201038_s_at,ANP32A,8125,ANP32A
201039_s_at,RAD23A,5886,RAD23A
201040_at,GNAI2,2771,GNAI2
201041_s_at,DUSP1,1843,DUSP1
201042_at,TGM2,7052,TGM2
201043_s_at,ANP32A,8125,ANP32A
201044_x_at,DUSP1,1843,DUSP1
201045_s_at,RAB6A,5870,WTH3DI
201046_s_at,RAD23A,5886,RAD23A
201047_x_at,RAB6A,5870,WTH3DI
201048_x_at,RAB6A,5870,WTH3DI
201049_s_at,RPS18,6222,RPS18
201050_at,PLD3,23646,PLD3
201051_at,ANP32A,8125,ANP32A
201052_s_at,PSMF1,9491,PSMF1
201053_s_at,PSMF1,9491,PSMF1
201054_at,HNRNPA0,10949,HNRNPA0
201055_s_at,HNRNPA0,10949,HNRNPA0
201056_at,GOLGB1,2804,GOLGB1
201057_s_at,GOLGB1,2804,GOLGB1
201058_s_at,MYL9,10398,MYL9
201059_at,CTTN,2017,CTTN
201060_x_at,STOM,2040,STOM
201061_s_at,STOM,2040,STOM
201062_at,STOM,2040,STOM
201063_at,RCN1,5954,RCN1
201064_s_at,PABPC4,8761,LOC100996696
201065_s_at,GTF2I /// GTF2IP1 /// LOC100093631,2969 /// 2970 /// 100093631,GTF2IP4
201066_at,CYC1,1537,CYC1
201067_at,PSMC2,5701,PSMC2
201068_s_at,PSMC2,5701,PSMC2
